name,city,iata,icao,lat,lng
Rtishchevo Air Base,Rtishchevo,,XWPR,52.2973,43.7241
Gisenyi Airport,Gisenyi,GYI,HRYG,-1.6772,29.2589
Kigali International Airport,Kigali,KGL,HRYR,-1.9686,30.1395
Kamembe Airport,Kamembe,KME,HRZA,-2.4622,28.9079
RAF Ascension Island,Wide Awake,ASI,FHAW,-7.9696,-14.3937
Robert L. Bradshaw International Airport,Basse Terre,SKB,TKPK,17.3112,-62.7187
Vance W. Amory International Airport,Charlestown,NEV,TKPN,17.2057,-62.5899
George F. L. Charles Airport,Castries,SLU,TLPC,14.0202,-60.9929
Hewanorra International Airport,Hewandorra,UVF,TLPL,13.7332,-60.9526
Miquelon Airport,Miquelon,MQC,LFVM,47.0955,-56.3803
St Pierre Airport,St.-pierre,FSP,LFVP,46.7629,-56.1731
Canouan Airport,Canouan Island,CIW,TVSC,12.699,-61.3424
Mustique Airport,Mustique,MQS,TVSM,12.8879,-61.1802
E. T. Joshua Airport,Kingstown,SVD,TVSV,13.1443,-61.2109
J F Mitchell Airport,Bequia,BQU,TVSB,12.9884,-61.262
Union Island International Airport,Union Island,UNI,TVSU,12.6001,-61.4119
Faleolo International Airport,Faleolo,APW,NSFA,-13.83,-172.008
Fagali'i Airport,Apia,FGI,NSFI,-13.8487,-171.74
Maota Airport,Savaii Island,MXS,NSMA,-13.7423,-172.258
Asau Airport,Savai\\'i,AAU,,-13.505,-172.6278
Principe Airport,Principe,PCP,FPPR,1.6629,7.4117
São Tomé International Airport,Sao Tome,TMS,FPST,0.3782,6.7122
Abha Regional Airport,Abha,AHB,OEAB,18.2404,42.6566
Al Ahsa Airport,Al-ahsa,HOF,OEAH,25.2853,49.4852
Al Baha Airport,El-baha,ABT,OEBA,20.2961,41.6343
Bisha Airport,Bisha,BHH,OEBH,19.9844,42.6209
Abqaiq Airport,Abqaiq,,OEBQ,25.9113,49.5912
King Fahd International Airport,Dammam,DMM,OEDF,26.4712,49.7979
King Abdulaziz Air Base,Dhahran,DHA,OEDR,26.2654,50.152
Jizan Regional Airport,Gizan,GIZ,OEGN,16.9011,42.5858
Gassim Airport,Gassim,ELQ,OEGS,26.3028,43.7744
Gurayat Domestic Airport,Guriat,URY,OEGT,31.4124,37.2789
Ha'il Airport,Hail,HAS,OEHL,27.4379,41.6863
Jubail Airport,Jubail,,OEJB,27.039,49.4051
King Faisal Naval Base,Jeddah,,OEJF,21.3481,39.173
King Abdulaziz International Airport,Jeddah,JED,OEJN,21.6796,39.1565
King Khaled Military City Airport,King Khalid Mil.city,HBT,OEKK,27.9009,45.5282
Prince Mohammad Bin Abdulaziz Airport,Madinah,MED,OEMA,24.5534,39.7051
Nejran Airport,Nejran,EAM,OENG,17.6114,44.4192
Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,AQI,OEPA,28.3352,46.1251
Pump Station 3 Airport,Petroline 3,,OEPC,25.1745,47.4884
Pump Station 6 Airport,Petroline 6,,OEPF,24.7103,44.9645
Pump Station 10 Airport,Petroline 10,,OEPJ,24.1073,41.036
Rabigh Airport,Rabigh,,OERB,22.7026,39.0698
Rafha Domestic Airport,Rafha,RAH,OERF,29.6264,43.4906
King Khaled International Airport,Riyadh,RUH,OERK,24.9576,46.6988
Ras Mishab Airport,Rash Mishab,,OERM,28.0796,48.611
Arar Domestic Airport,Arar,RAE,OERR,30.9066,41.1382
Ras Tanura Airport,Ras Tanura,,OERT,26.7231,50.0308
Sharurah Airport,Sharurah,SHW,OESH,17.4669,47.1214
Sulayel Airport,Sulayel,SLF,OESL,20.4647,45.6196
Tabuk Airport,Tabuk,TUU,OETB,28.3654,36.6189
Ta’if Regional Airport,Taif,TIF,OETF,21.483,40.5434
Thumamah Airport,Thumamah,,OETH,25.213,46.641
Ras Tanajib Airport,Ras Tanajib,,OETN,27.8678,48.7691
Turaif Domestic Airport,Turaif,TUI,OETR,31.6922,38.7315
Al Wajh Domestic Airport,Wejh,EJH,OEWJ,26.1986,36.4764
Prince Abdulmohsin Bin Abdulaziz Airport,Yenbo,YNB,OEYN,24.1442,38.0634
Dawadmi Domestic Airport,Dawadmi,DWD,OEDW,24.5,44.4
Al-Jawf Domestic Airport,Al-Jawf,AJF,OESK,29.7851,40.1
Wadi Al Dawasir Airport,Wadi-al-dawasir,EWD,OEWD,20.5043,45.1996
Prince Sultan Air Base,Al Kharj,,OEPS,24.0627,47.5805
Shaibah Airport,Shaybah,,OESB,22.5145,53.9641
Prince Abdul Majeed Airport,Al-Ula,ULH,OEAO,26.6367,37.908
Dawadmi Domestic Airport,,,OEDM,24.4499,44.1212
King Khaled Air Base,,KMX,OEKM,18.2973,42.8035
Riyadh Air Base,Riyadh,XXN,OERY,24.7098,46.7252
Ziguinchor Airport,Ziguinchor,ZIG,GOGG,12.5556,-16.2818
Cap Skirring Airport,Cap Skiring,CSK,GOGS,12.4102,-16.7461
Kaolack Airport,Kaolack,KLC,GOOK,14.1469,-16.0513
Léopold Sédar Senghor International Airport,Dakar,DKR,GOOY,14.7397,-17.4902
Saint Louis Airport,St. Louis,XLS,GOSS,16.0508,-16.4632
Bakel Airport,Bakel,BXE,GOTB,14.8473,-12.4683
Kédougou Airport,Kedougou,KGG,GOTK,12.5723,-12.2203
Tambacounda Airport,Tambacounda,TUD,GOTT,13.7368,-13.6531
Ouro Sogui Airport,Matam,MAX,GOSM,15.5936,-13.3228
Belgrade Nikola Tesla Airport,Belgrade,BEG,LYBE,44.8184,20.3091
Nis Airport,Nis,INI,LYNI,43.3373,21.8537
Priština International Airport,Pristina,PRN,BKPR,42.5728,21.0358
